Airline,Airline_id,Source_airport,Source_airport_id,Destination_airport,Destination_airport_id,Codeshare,Stops,Equipment,Route_id
BA,1355,ABZ,532,LCY,503,Y,0,S20 E70,1
BA,1355,ABZ,532,LHR,507,,0,321 320 319,2
BA,1355,BHD,467,LHR,507,,0,319,3
BA,1355,EDI,535,LCY,503,Y,0,E90 E70,4
BA,1355,EDI,535,LGW,502,,0,734 319,5
BA,1355,EDI,535,LHR,507,,0,767 320 319 321,6
BA,1355,GLA,534,LCY,503,Y,0,E90 E70,7
BA,1355,GLA,534,LGW,502,,0,734 319,8
BA,1355,GLA,534,LHR,507,,0,319 321 320 767,9
BA,1355,LBA,517,LHR,507,,0,319,10
BA,1355,LCY,503,ABZ,532,Y,0,E70 S20,11
BA,1355,LCY,503,EDI,535,Y,0,E90 E70,12
BA,1355,LCY,503,GLA,534,Y,0,E90 E70,13
BA,1355,LGW,502,EDI,535,,0,734 319,14
BA,1355,LGW,502,GLA,534,,0,734 319,15
BA,1355,LGW,502,NQY,481,Y,0,DH4,16
BA,1355,LHR,507,ABZ,532,,0,320 319 321,17
BA,1355,LHR,507,BHD,467,,0,319,18
BA,1355,LHR,507,EDI,535,,0,319 767 321 320,19
BA,1355,LHR,507,GLA,534,,0,320 319 321 767,20
BA,1355,LHR,507,LBA,517,,0,319,21
BA,1355,LHR,507,MAN,478,,0,319 320 321,22
BA,1355,LHR,507,NCL,521,,0,319 321 320,23
BA,1355,MAN,478,LHR,507,,0,319 320 321,24
BA,1355,NCL,521,LHR,507,,0,319 321 320,25
BA,1355,NQY,481,LGW,502,Y,0,DH4,26
BE,2421,ABZ,532,BHD,467,,0,DH4,27
BE,2421,ABZ,532,BHX,469,,0,E75 DH4,28
BE,2421,ABZ,532,KOI,529,Y,0,S20 SF3,29
BE,2421,ABZ,532,LSI,530,Y,0,SF3 S20,30
BE,2421,ABZ,532,MAN,478,,0,E75 DH4,31
BE,2421,BEB,538,GLA,534,Y,0,SF3,32
BE,2421,BEB,538,SYY,541,Y,0,SF3,33
BE,2421,BHD,467,ABZ,532,,0,DH4,34
BE,2421,BHD,467,BHX,469,,0,DH4 E75,35
BE,2421,BHD,467,CWL,488,,0,DH4,36
